year,state,demVotes,gopVotes,otherVotes,totalVotes,demShareTotal,gopShareTotal,demShareTwoParty,gopShareTwoParty,differenceTotal,differenceTwoParty
2008,IA,828940,682379,25804,1537123,0.5392802007386527,0.4439325935530208,0.5484877778946735,0.45151222210532654,0.010450083282422695,0.011599340795190538
2012,IA,822544,730617,29019,1582180,0.5198801653414908,0.46177868510536096,0.5295935192810017,0.4704064807189982,0.009583885870460662,0.01001046704171027
2016,IA,653669,800983,110928,1565580,0.41752513445496237,0.5116206134467737,0.4493645215487965,0.5506354784512034,-0.06390609053250668,-0.06176785301711901
2020,IA,759061,897672,34138,1690871,0.44891715571442176,0.5308932496920227,0.4581673691536295,0.5418326308463706,-0.0642678289023833,-0.06453984806591401
1976,ID,126549,204151,10232,340932,0.37118545633733413,0.5988026937923104,0.38267009374055033,0.6173299062594496,-0.12912295770055227,-0.12783405892062533
1980,ID,110192,290699,36540,437431,0.25190715792890767,0.6645596676961624,0.2748677321266878,0.7251322678733122,-0.1582921451647969,-0.1721097691035383
1984,ID,108510,297523,5111,411144,0.2639221294728854,0.723646702858366,0.2672442880258501,0.7327557119741499,-0.1415410766075813,-0.1410020337444946
1988,ID,147272,253881,7815,408968,0.36010641419377554,0.6207845112576045,0.3671217714936695,0.6328782285063305,-0.09639018343366706,-0.09386279404620917
1992,ID,137013,202645,142456,482114,0.2841921205358069,0.4203258980241188,0.40338516978843425,0.5966148302115658,-0.14558223463014086,-0.1314147232618253
1996,ID,165443,256595,69673,491711,0.3364638985094903,0.521841081448249,0.3920097242428407,0.6079902757571594,-0.15530897733513466,-0.15535390164425128
2000,ID,138637,336937,26041,501615,0.27638128843834414,0.6717043948047806,0.29151509544255994,0.7084849045574401,-0.20656348771376648,-0.21114572825090816
2004,ID,181098,409235,8043,598376,0.3026491704212736,0.6839094482399026,0.306772618166357,0.6932273818336431,-0.17980568327851826,-0.18083563832102773
2008,ID,236440,403012,15670,655122,0.3609098763283785,0.6151709147303861,0.3697541019497945,0.6302458980502055,-0.16792024112785148,-0.16713433514968845
2012,ID,212787,420911,18576,652274,0.3262233355920978,0.6452978349589283,0.3357861315642467,0.6642138684357534,-0.18407294387893236,-0.18379692067504477
2016,ID,189765,409055,91435,690255,0.27492013820979205,0.5926143236919689,0.31689823319194416,0.6831017668080558,-0.206511086777677,-0.19423414137397138
2020,ID,287021,554118,26966,868105,0.33062935935169135,0.6383075780003571,0.3412289764236351,0.6587710235763649,-0.1825556252651137,-0.1814782407959084
1976,IL,2271295,2364269,85718,4721282,0.48107590268914247,0.5007684353529401,0.4899716625636061,0.510028337436394,-0.01923251134874393,-0.020532490097569578
1980,IL,1981413,2358049,410259,4749721,0.41716408184817594,0.49646052894475273,0.45660337617889035,0.5433966238211096,0.006964778754471379,0.009625874948664237
1984,IL,2086499,2707103,25486,4819088,0.43296553206747834,0.5617459154097206,0.4352674669277925,0.5647325330722075,0.027502325987011633,0.0270211451574478
1988,IL,2215940,2310939,32241,4559120,0.4860455526505115,0.5068826878871361,0.4895072300364114,0.5104927699635886,0.029548955023068924,0.028522664496532735
1992,IL,2453350,1734096,862711,5050157,0.48579677819917283,0.3433746713220995,0.585882182122468,0.41411781787753205,0.05602242303322508,0.051082289072208464
1996,IL,2341744,1587021,382626,4311391,0.5431527783028726,0.3680995298269166,0.5960509218545778,0.4039490781454223,0.051379902458247584,0.04868729596748578
2000,IL,2589026,2019421,133661,4742108,0.545965212095549,0.42584879973210227,0.5618001031583959,0.4381998968416041,0.06302043594343842,0.05913927946492781
2004,IL,2891550,2345946,36826,5274322,0.5482316020902781,0.4447862682634849,0.5520863404955345,0.4479136595044655,0.06577674839048625,0.0644780840081498
2008,IL,3419348,2031179,71844,5522371,0.6191811452001323,0.36780922542147204,0.6273426404455936,0.3726573595544064,0.09035102774390236,0.09045420334611065
2012,IL,3019512,2135216,87286,5242014,0.5760213536247709,0.407327412708169,0.585775233921169,0.4142247660788309,0.06572507415374074,0.06619218168187757
2016,IL,3090729,2146015,299680,5536424,0.558253666987933,0.3876175307382527,0.5902005139071148,0.4097994860928852,0.07682244200046395,0.07906813934119927
2020,IL,3471680,2446733,120059,6038472,0.5749269020374691,0.4051907502427767,0.5865896820651076,0.41341031793489236,0.06174191742066404,0.06388246484556415
1976,IN,1014714,1183958,21690,2220362,0.45700385792947273,0.5332274647107094,0.46151222192305175,0.5384877780769483,-0.04330455610841366,-0.04899193073812391
1980,IN,844197,1255656,142180,2242033,0.3765319243739945,0.5600524167128673,0.4020267132985023,0.5979732867014976,-0.03366737871971004,-0.0449507879317238
1984,IN,841481,1377230,14358,2233069,0.3768271378985602,0.6167431458678617,0.37926570878316285,0.6207342912168372,-0.028636068181906504,-0.028980612987181853
1988,IN,860643,1297763,10215,2168621,0.39686187674102574,0.5984277566250626,0.3987400887506799,0.6012599112493201,-0.05963472088641686,-0.062244476789198755
1992,IN,848420,989375,468076,2305871,0.3679390564346401,0.42906780127769506,0.4616510546606123,0.5383489453393877,-0.061835298731307664,-0.07314883838964725
1996,IN,887424,1006693,241314,2135431,0.41557137645749265,0.4714238015651173,0.46851593644954354,0.5314840635504565,-0.07620149938713233,-0.07884768943754844
2000,IN,901980,1245836,51486,2199302,0.4101210293083897,0.566468816015263,0.41995217467418067,0.5800478253258193,-0.07282374684372095,-0.08270864901928743
2004,IN,969011,1479438,19553,2468002,0.39262974665336575,0.5994476503665718,0.3957652375034154,0.6042347624965846,-0.0898251070464261,-0.0918430189839693
2008,IN,1374039,1345648,31367,2751054,0.4994591163968428,0.4891390717884854,0.5052195344537809,0.49478046554621913,-0.02937100105938717,-0.0316689026457021
2012,IN,1152887,1420543,51104,2624534,0.43927302904058396,0.5412553238022445,0.447996254026727,0.5520037459732731,-0.07102325043044622,-0.07158679821256447
2016,IN,1033126,1557286,144546,2734958,0.37774839686752043,0.5694003344841128,0.3988269047549193,0.6011730952450807,-0.10368282811994861,-0.11230546981099626
2020,IN,1242495,1729852,60851,3033198,0.40963201215350925,0.5703063235568532,0.4180181519856194,0.5819818480143806,-0.10355297246329581,-0.10468906523392407
1976,KS,430421,502752,24672,957845,0.44936393675385894,0.5248782423043394,0.4612445923746186,0.5387554076253813,-0.050944477284027456,-0.049259560286557036
1980,KS,326150,566812,86833,979795,0.33287575462214036,0.578500604718334,0.3652451056147966,0.6347548943852034,-0.0773235484715642,-0.0817323956154295
1984,KS,333149,677296,11546,1021991,0.32598036577621525,0.66272207876586,0.3297052288843034,0.6702947711156966,-0.07948284030425146,-0.07854109288604127
1988,KS,422636,554049,16359,993044,0.4255964488985382,0.5579299608073761,0.4327249829781352,0.5672750170218648,-0.030900148728904397,-0.028259582561743435
1992,KS,390434,449951,316851,1157236,0.3373849413602757,0.38881524598266903,0.4645894441238242,0.5354105558761758,-0.09238941380567206,-0.07021044892643535
1996,KS,387659,583245,103396,1074300,0.3608479940426324,0.542907009215303,0.39927634452015853,0.6007236554798414,-0.13092488180199258,-0.14808728136693344
2000,KS,399276,622332,50608,1072216,0.3723839226424526,0.580416632469577,0.39083092536471914,0.6091690746352808,-0.110560853509658,-0.11182989832874896
2004,KS,434993,736456,16307,1187756,0.3662309430556444,0.620039806155473,0.3713290121891777,0.6286709878108223,-0.11622391064414744,-0.11627924429820702
2008,KS,514765,699655,21452,1235872,0.41651967194013617,0.5661225434349189,0.42387724181090564,0.5761227581890944,-0.11231044551609382,-0.11301119528857734
2012,KS,440726,692634,26611,1159971,0.3799457055391902,0.5971132036921613,0.38886673254746945,0.6111332674525305,-0.13035057393183996,-0.130716319691822
2016,KS,427005,671018,86379,1184402,0.36052370732234496,0.5665458180583958,0.38888529657393334,0.6111147034260667,-0.12090751766512409,-0.1222470779919822
2020,KS,570323,771406,33575,1375304,0.4146886797391704,0.5608985358873384,0.4250657174436865,0.5749342825563135,-0.09849630487763467,-0.09764149977585701
1976,KY,615717,531852,19573,1167142,0.5275424926872652,0.45568748275702525,0.5365402864664347,0.4634597135335653,0.027234078649378768,0.026036133805259043
1980,KY,617417,635274,42936,1295627,0.4765391582608266,0.4903216743707873,0.4928725439873041,0.5071274560126958,0.06633985516712204,0.04589504275707801
1984,KY,539539,821702,8104,1369345,0.39401246581394755,0.6000693762346231,0.39635817610548024,0.6036418238945198,-0.011450740266519155,-0.011888145664864458
1988,KY,580368,734281,7868,1322517,0.4388359469103233,0.5552147911898297,0.44146232188211454,0.5585376781178855,-0.01766065071711931,-0.019522243657764116
1992,KY,665104,617178,210618,1492900,0.4455114207247639,0.4134088016611963,0.5186877769476606,0.4813122230523395,0.015737065558816155,-0.016112116102598995
1996,KY,636614,623283,128811,1388708,0.4584217848532593,0.4488222146052302,0.5052905118434284,0.4947094881565715,-0.033351090991365684,-0.04207311404366354
2000,KY,638923,872520,32663,1544106,0.4137818258591055,0.565064833631888,0.42272384734323426,0.5772761526567658,-0.06916295029300512,-0.07993697635023383
2004,KY,712733,1069439,13710,1795882,0.39687072981409693,0.5954951383220055,0.39992380084526075,0.6000761991547393,-0.08558412388569492,-0.08768445564212396
2008,KY,751985,1048462,26173,1826620,0.4116811378392879,0.5739902114287592,0.4176657241229539,0.5823342758770461,-0.1171489796169421,-0.11922271297652909
2012,KY,679370,1087190,30652,1797212,0.37801327834445797,0.6049314159932162,0.38457227606195094,0.6154277239380491,-0.1322830011265722,-0.13501077617734053
2016,KY,628854,1202971,92324,1924149,0.3268218833364776,0.6251963855190009,0.34329370982490137,0.6567062901750986,-0.15460934165099144,-0.16783866474101417
2020,KY,772474,1326646,37648,2136768,0.3615151481115404,0.6208657186929044,0.36799897099737033,0.6320010290026297,-0.15166983650526467,-0.15470824622217316
1976,LA,661365,587446,28572,1277383,0.5177499622274604,0.45988243150253294,0.5295957514788067,0.47040424852119334,0.017441548189573997,0.019091598817631006
1980,LA,708453,792853,47285,1548591,0.45748231779727505,0.5119834740095996,0.4718911401140074,0.5281088598859925,0.04728301470357049,0.024913638883781286
1984,LA,651586,1037299,17937,1706822,0.38175392630280136,0.6077370692433072,0.3858083883745785,0.6141916116254215,-0.02370927977766535,-0.02243793339576622
1988,LA,717460,883702,27040,1628202,0.4406455710040892,0.5427471529945301,0.4480870767605027,0.5519129232394974,-0.015851026623353415,-0.012897488779375965
1992,LA,815971,733386,240660,1790017,0.4558453914124838,0.40970895807134794,0.5266513786041565,0.47334862139584355,0.02607103624653606,-0.008148514446103094
1996,LA,927837,712586,143536,1783959,0.5200999574541791,0.3994407943231879,0.5656083827159214,0.43439161728407855,0.02832708160955416,0.018244756828829423
2000,LA,792344,927871,45441,1765656,0.44875332454339917,0.5255106317425365,0.4606075403365277,0.5393924596634723,-0.034191451608711454,-0.04205328335694042
2004,LA,820299,1102169,20638,1943106,0.4221586470321228,0.5672202134108999,0.4266905873075651,0.573309412692435,-0.06029620666766905,-0.06091766917981961
2008,LA,782989,1148275,29497,1960761,0.3993291380234511,0.5856272131075638,0.40542825838414637,0.5945717416158537,-0.12950097943277888,-0.1314601787153366
2012,LA,809141,1152262,32662,1994065,0.4057746362330215,0.5778457572847425,0.4125317438588602,0.5874682561411397,-0.10452164323800867,-0.10705130838043125
2016,LA,780154,1178638,70240,2029032,0.3844956609851397,0.580886846535688,0.3982832276219221,0.601716772378078,-0.09693556400232933,-0.11284914694399345
2020,LA,856034,1255776,36252,2148062,0.39851456801526214,0.5846088241400853,0.4053555954370895,0.5946444045629105,-0.11467041660154292,-0.11735162178245401
1976,MA,1429475,1030276,87807,2547558,0.5611157822510813,0.40441709276098914,0.5811462217110593,0.4188537782889406,0.06080736821319488,0.07064206904988368
1980,MA,1053802,1057631,412657,2524090,0.41749779128319514,0.41901477364119344,0.49909326983143676,0.5009067301685632,0.007298488189490582,0.052115768601210644
1984,MA,1239606,1310936,8841,2559383,0.4843378267340214,0.5122078250890938,0.48601669762740624,0.5139833023725937,0.07887462065355472,0.07777037585706154
1988,MA,1401415,1194635,36751,2632801,0.5322905149306765,0.4537505873022686,0.5398258893318696,0.4601741106681304,0.07579391730323387,0.07884132379199094
1992,MA,1318639,805039,649986,2773664,0.47541410927927824,0.2902438795758967,0.6209222867120157,0.37907771328798434,0.04563975411333049,0.08612239366175611
1996,MA,1571509,718058,266892,2556459,0.614720987115381,0.2808799202334166,0.6863782540541509,0.31362174594584913,0.12294811127075606,0.1390146281670589
2000,MA,1616487,878502,238975,2733964,0.5912612602067913,0.32132902993601964,0.6478934376063381,0.35210656239366184,0.10831648405468064,0.14523261391287
2004,MA,1803800,1071109,52546,2927455,0.616166602048537,0.3658840187124994,0.6274285551299189,0.3725714448700811,0.13371174834874516,0.1398202986425342
2008,MA,1904097,1108854,90044,3102995,0.6136319910280229,0.3573495928933176,0.6319707821335295,0.36802921786647047,0.08480187357179292,0.09508234503404656
2012,MA,1921290,1188314,74592,3184196,0.6033830832021647,0.37319122315334863,0.6178568074906001,0.38214319250939993,0.09308680373113454,0.09827375525130866
2016,MA,1995196,1090893,292732,3378821,0.5905006509667129,0.3228620279085515,0.646512786896295,0.35348721310370507,0.10906942597924385,0.13538041233037945
2020,MA,2382202,1167202,81998,3631402,0.6560006300596849,0.3214191103050557,0.6711554954014815,0.3288445045985185,0.14281564544287983,0.14844827818193795
1976,MD,759612,672661,0,1432273,0.5303541992343639,0.46964580076563617,0.5303541992343639,0.46964580076563617,0.030045785196477492,0.01985004657318823
1980,MD,726161,680606,133729,1540496,0.4713812953749961,0.44180965091762653,0.516191380662185,0.483808619337815,0.061181992281291564,0.06921387943195884
1984,MD,787935,879918,8020,1675873,0.4701639086016661,0.5250505259050059,0.4724247280785537,0.5275752719214463,0.06470070252119942,0.06417840630820898
1988,MD,826304,876167,11887,1714358,0.48199034274054775,0.511075866300971,0.48535569768882997,0.5146443023111701,0.02549374511310515,0.024371132148951313
1992,MD,988571,707094,288915,1984580,0.4981260518598394,0.3562940269477673,0.5829990003921766,0.4170009996078235,0.06835169669389163,0.048199107341917014
1996,MD,966207,681530,133133,1780870,0.5425477435186173,0.38269497492798465,0.5863842348627238,0.41361576513727616,0.05077486767399236,0.039020608975631865
2000,MD,1144008,813827,67377,2025212,0.5648830838450493,0.40184780655062285,0.584322989424543,0.4156770105754571,0.08193830769293864,0.08166216573107488
2004,MD,1334500,1024703,25035,2384238,0.5597176120840285,0.4297821777859425,0.5656571308191792,0.4343428691808208,0.07726275838423663,0.07804887433179453
2008,MD,1629467,959862,42267,2631596,0.6191934476264593,0.364745196451127,0.6293008729288553,0.37069912707114466,0.09036333017022935,0.09241243582937231
2012,MD,1677844,971869,57614,2707327,0.6197419077931849,0.3589773233894539,0.6332172578690598,0.3667827421309402,0.10944562832215476,0.11363420562976834
2016,MD,1678006,943428,160012,2781446,0.6032854853195064,0.3391861643188471,0.6401099550856516,0.3598900449143484,0.12185426033203739,0.12897758051973607
2020,MD,1985023,976414,57627,3019064,0.657496164374124,0.32341613162225114,0.6702904704709234,0.3297095295290766,0.14431117975731889,0.1475832532513799
1976,ME,232279,236320,14369,482968,0.480940766261947,0.489307780225605,0.49568821102904614,0.5043117889709539,-0.01936764777593941,-0.014815941632129515
1980,ME,220974,238522,63515,523011,0.42250354199051265,0.45605541757247936,0.4809051656597664,0.5190948343402336,0.012304238896808095,0.03392766442954026
1984,ME,214515,336500,2129,553144,0.3878104074165136,0.6083406852465181,0.38930882099398384,0.6106911790060162,-0.017652798663953084,-0.01893750077636086
1988,ME,243569,307131,4335,555035,0.4388353887592674,0.5533542929725153,0.4422898129653169,0.5577101870346831,-0.017661208868175182,-0.018694752574561768
1992,ME,263420,206504,209575,679499,0.3876679730212995,0.30390626034769735,0.5605587286454831,0.4394412713545169,-0.042106382144648236,0.025758835595223517
1996,ME,312788,186378,106731,605897,0.5162395588689167,0.3076067384390416,0.6266212041685532,0.37337879583144684,0.024466683024291724,0.07925757828146118
2000,ME,319951,286616,45250,651817,0.4908601647394898,0.43971850994987854,0.5274784154100042,0.4725215845899958,0.007915388587379169,0.02481759171653608
2004,ME,396842,330201,13709,740752,0.5357285569259347,0.44576457437846945,0.545830164103086,0.45416983589691395,0.05327370322614283,0.05822190761570134
2008,ME,421923,295273,13967,731163,0.5770573729797597,0.40384018337908234,0.588295249834076,0.41170475016592395,0.04822725552352969,0.05140681273459302
2012,ME,401306,292276,31176,724758,0.5537103419348252,0.40327392039825705,0.5785992139357711,0.42140078606422887,0.04341406246379498,0.05901616169647961
2016,ME,357735,335593,78564,771892,0.4634521409730895,0.43476678084498865,0.5159679112916253,0.48403208870837466,-0.01797908401437953,0.004835536725709799
2020,ME,435072,360737,24696,820505,0.5302490539362953,0.4396524091870251,0.5467040458200397,0.45329595417996027,0.017064069319490227,0.023996828600496234
1976,MI,1696714,1893742,61134,3651590,0.46465074118397737,0.518607510700818,0.4725622595013001,0.5274377404986998,-0.03565767285390903,-0.03794189315987556
1980,MI,1661532,1915225,332968,3909725,0.42497413500949555,0.48986181892588354,0.46453589103201587,0.5354641089679841,0.014774831915790987,0.017558389801789753
1984,MI,1529638,2251571,20449,3801658,0.4023607594370667,0.5922602717025045,0.40453675001831424,0.5954632499816858,-0.0031024466434000364,-0.0037095717520304605
1988,MI,1675783,1965486,27894,3669163,0.4567207834593339,0.5356769377648254,0.46021950039944864,0.5397804996005513,0.00022418583189132146,-0.0007650651404300102
1992,MI,1871182,1554940,848551,4274673,0.43773687484399393,0.36375647915056897,0.5461515964697112,0.45384840353028877,0.007962519678046176,0.011351703419451686
1996,MI,1989653,1481212,377979,3848844,0.5169482057469723,0.3848459433533809,0.5732441336669677,0.42675586633303225,0.025175329902347332,0.025880507779875717
2000,MI,2170418,1953139,108944,4232501,0.5127979887069135,0.46146214732140645,0.5263460648173409,0.473653935182659,0.029853212554802888,0.023685241123872824
2004,MI,2479183,2313746,46323,4839252,0.5123070672905647,0.4781205855781017,0.5172584446796521,0.48274155532034796,0.02985221359077289,0.02965018819226739
2008,MI,2872579,2048639,80378,5001596,0.5743324730745946,0.40959705661952706,0.5837130157615452,0.4162869842384548,0.045502355618364576,0.046824578662062244
2012,MI,2564569,2115256,51136,4730961,0.5420820421051875,0.4471091602742022,0.5480053207117788,0.45199467928822123,0.03178576263415733,0.0284222684724873
2016,MI,2268839,2279543,250902,4799284,0.4727453095086684,0.47497564219996147,0.4988233178303845,0.5011766821696155,-0.008685915478800654,-0.01230905673553101
2020,MI,2804040,2649852,85410,5539302,0.5062081829082437,0.4783729069113762,0.5141355934440947,0.4858644065559054,-0.006976801708561409,-0.008571623775448844
1976,MN,1070440,819395,60096,1949931,0.5489630145887213,0.4202174333348206,0.566419819719711,0.433580180280289,0.048654600550834926,0.055915667058535345
1980,MN,954173,873268,224475,2051916,0.4650156244212726,0.4255866224543305,0.5221361455718679,0.477863854428132,0.05481632132756803,0.07515864434164182
1984,MN,1036364,1032603,15482,2084449,0.49718846563288427,0.49538415187898577,0.5009089076819495,0.4990910923180505,0.09172525955241756,0.09266258591160481
1988,MN,1109471,962337,24982,2096790,0.5291283342633263,0.4589572632452463,0.5355085992524404,0.4644914007475596,0.07263173663588368,0.07452403371256178
1992,MN,1020997,747841,579110,2347948,0.4348465127847806,0.3185083315303405,0.5772134022448636,0.42278659775513644,0.00507215761883284,0.04241350919460407
1996,MN,1120380,766395,305717,2192492,0.5110075658200806,0.3495542971194422,0.5938068927137576,0.4061931072862424,0.019234689975455577,0.04644326682666566
2000,MN,1168266,1109659,160760,2438685,0.479055720603522,0.4550235065209324,0.5128641197581132,0.4871358802418868,-0.003889055548588649,0.010203296064645095
2004,MN,1445014,1346695,36678,2828387,0.5108968468600654,0.47613533791521456,0.5176091061066895,0.4823908938933105,0.02844199316027357,0.030000849619304826
2008,MN,1573354,1275409,61606,2910369,0.5406029269827984,0.43822931044139074,0.5522937499539273,0.4477062500460726,0.01177280952656845,0.015405312854444353
2012,MN,1546167,1320225,70169,2936561,0.5265230315324626,0.4495820110666865,0.5394122646169819,0.4605877353830181,0.016226752061432426,0.01982921237769042
2016,MN,1367705,1322949,254128,2944782,0.4644503396176695,0.4492519310427733,0.5083169370718048,0.49168306292819514,-0.016980885369799525,-0.0028154374941107285
2020,MN,1717077,1484065,76029,3277171,0.5239509930974001,0.4528494240916937,0.5363951364856667,0.46360486351433333,0.010766008480595057,0.013687919266123227
1976,MO,998387,927443,27770,1953600,0.5110498566748567,0.47473536036036035,0.5184190712575877,0.4815809287424124,0.0107414426369703,0.007914918596412024
1980,MO,931182,1074181,94461,2099824,0.4434571659339068,0.511557635306578,0.4643458565855658,0.5356541434144342,0.03325786284020227,0.017368355355339704
1984,MO,848583,1274188,0,2122771,0.39975249332122964,0.6002475066787704,0.39975249332122964,0.6002475066787704,-0.005710712759237069,-0.00849382844911506
1988,MO,1001619,1084953,6656,2093228,0.4785044916272857,0.5183157305367595,0.4800308831902278,0.5199691168097722,0.022007893999843098,0.019046317650349143
1992,MO,1053873,811159,526238,2391270,0.4407168575694087,0.3392168178415654,0.5650696610031356,0.4349303389968644,0.010942502403460952,0.03026976795287606
1996,MO,1025935,890016,242114,2158065,0.4753957827961623,0.41241389856190613,0.5354703747642815,0.46452962523571845,-0.016377093048462688,-0.011893251122810478
2000,MO,1111138,1189924,58830,2359892,0.47084273348102373,0.5042281595937441,0.48288051343249333,0.5171194865675066,-0.012102042671086888,-0.019780310260974765
2004,MO,1259171,1455713,16480,2731364,0.46100446516831883,0.5329619193926551,0.4638028733456015,0.5361971266543984,-0.02145038853147302,-0.02380538314178321
2008,MO,1441911,1445814,37480,2925205,0.49292647865705136,0.49426074411878823,0.4993242085032335,0.5006757914967664,-0.03590363879917863,-0.03756422859624947
2012,MO,1223796,1482440,51087,2757323,0.4438348354545333,0.5376374113587709,0.45221333246620027,0.5477866675337997,-0.0664614440164969,-0.0673697197730912
2016,MO,1071068,1594511,143026,2808605,0.3813523083523671,0.5677234783816165,0.40181439004433933,0.5981856099556606,-0.10007891663510193,-0.1093179845215762
2020,MO,1253561,1717912,58113,3029586,0.41377303697600926,0.5670451342196591,0.421865182688855,0.578134817311145,-0.0994119476407958,-0.10084203453068852
1976,MS,381329,366846,20215,768390,0.4962701232447065,0.4774216218326631,0.509678885287533,0.490321114712467,-0.004038290793179911,-0.0008252673736426352
1980,MS,429281,441089,21380,891750,0.48139164564059433,0.49463302495093914,0.4932166779645438,0.5067833220354562,0.07119234254688978,0.04623917673431771
1984,MS,352192,582377,6535,941104,0.3742328159268264,0.6188232118873154,0.3768496494105839,0.623150350589416,-0.03123039015364032,-0.03139667235976079
1988,MS,363921,557890,9716,931527,0.39067144591622144,0.5988983679485405,0.39478917044817213,0.6052108295518279,-0.06582515171122116,-0.06619539509170652
1992,MS,400258,487793,93742,981793,0.40768064143867394,0.4968389467026145,0.45071510532615805,0.5492848946738419,-0.02209371372727381,-0.0840847877241015
